,Name,PD,Positive,HOMFLY
,3_1,[[1;5;2;4];[3;1;4;6];[5;3;6;2]],Y,(2*v^2-v^4)+ v^2*z^2
,5_1,[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]],Y,(3*v^4-2*v^6)+ (4*v^4-v^6)*z^2+ v^4*z^4
,5_2,[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],Y,(v^2+ v^4-v^6)+ (v^2+ v^4)*z^2
,7_1,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]],Y,(4*v^6-3*v^8)+ (10*v^6-4*v^8)*z^2+ (6*v^6-v^8)*z^4+ v^6*z^6
,7_2,[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],Y,(v^2+ v^6-v^8)+ (v^2+ v^4+ v^6)*z^2
,7_3,[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]],Y,(v^4+ 2*v^6-2*v^8)+ (3*v^4+ 3*v^6-v^8)*z^2+ (v^4+ v^6)*z^4
,7_4,[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]],Y,(2*v^4-v^8)+ (v^2+ 2*v^4+ v^6)*z^2
,7_5,[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]],Y,(2*v^4-v^8)+ (3*v^4+ 2*v^6-v^8)*z^2+ (v^4+ v^6)*z^4
,8_15,[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]],Y,(v^4+ 3*v^6-4*v^8+ v^10)+ (2*v^4+ 5*v^6-3*v^8)*z^2+ (v^4+ 2*v^6)*z^4
,8_19,[[2;14;3;13];[5;11;6;10];[7;15;8;14];[9;5;10;4];[11;7;12;6];[12;2;13;1];[15;9;16;8];[16;4;1;3]],Y,(5*v^6-5*v^8+ v^10)+ (10*v^6-5*v^8)*z^2+ (6*v^6-v^8)*z^4+ v^6*z^6
,9_1,[[1;11;2;10];[3;13;4;12];[5;15;6;14];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],Y,(5*v^8-4*v^10)+ (20*v^8-10*v^10)*z^2+ (21*v^8-6*v^10)*z^4+ (8*v^8-v^10)*z^6+ v^8*z^8
,9_2,[[2;8;3;7];[4;14;5;13];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;16;13;15];[14;6;15;5];[16;12;17;11];[18;10;1;9]],Y,(v^2+ v^8-v^10)+ (v^2+ v^4+ v^6+ v^8)*z^2
,9_3,[[1;11;2;10];[3;15;4;14];[5;13;6;12];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],Y,(v^6+ 3*v^8-3*v^10)+ (6*v^6+ 7*v^8-4*v^10)*z^2+ (5*v^6+ 5*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,9_4,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;8;17;7];[18;10;1;9]],Y,(v^4+ 2*v^8-2*v^10)+ (3*v^4+ 2*v^6+ 3*v^8-v^10)*z^2+ (v^4+ v^6+ v^8)*z^4
,9_5,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],Y,(v^4+ v^6-v^10)+ (v^2+ 2*v^4+ 2*v^6+ v^8)*z^2
,9_6,[[1;13;2;12];[3;7;4;6];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;1;12;18];[13;5;14;4];[15;9;16;8];[17;11;18;10]],Y,(3*v^6-v^8-v^10)+ (7*v^6+ 3*v^8-3*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,9_7,[[2;10;3;9];[4;12;5;11];[6;16;7;15];[8;6;9;5];[10;4;11;3];[12;2;13;1];[14;18;15;17];[16;8;17;7];[18;14;1;13]],Y,(2*v^4-v^6+ v^8-v^10)+ (3*v^4+ v^6+ 2*v^8-v^10)*z^2+ (v^4+ v^6+ v^8)*z^4
,9_9,[[1;13;2;12];[3;9;4;8];[5;15;6;14];[7;17;8;16];[9;3;10;2];[11;1;12;18];[13;5;14;4];[15;7;16;6];[17;11;18;10]],Y,(2*v^6+ v^8-2*v^10)+ (7*v^6+ 4*v^8-3*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,9_10,[[1;13;2;12];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]],Y,(2*v^6+ v^8-2*v^10)+ (2*v^4+ 5*v^6+ 2*v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
,9_13,[[2;12;3;11];[4;14;5;13];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]],Y,(3*v^6-v^8-v^10)+ (2*v^4+ 5*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
,9_16,[[1;9;2;8];[3;11;4;10];[5;15;6;14];[7;5;8;4];[9;3;10;2];[11;17;12;16];[13;1;14;18];[15;7;16;6];[17;13;18;12]],Y,(4*v^6-3*v^8)+ (8*v^6-2*v^10)*z^2+ (5*v^6+ 3*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,9_18,[[2;12;3;11];[4;2;5;1];[6;16;7;15];[8;14;9;13];[10;18;11;17];[12;4;13;3];[14;8;15;7];[16;10;17;9];[18;6;1;5]],Y,(v^4+ v^6-v^10)+ (2*v^4+ 4*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
,9_23,[[2;16;3;15];[4;12;5;11];[6;4;7;3];[8;18;9;17];[10;14;11;13];[12;6;13;5];[14;8;15;7];[16;2;17;1];[18;10;1;9]],Y,(v^4+ 2*v^6-2*v^8)+ (2*v^4+ 4*v^6-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
,9_35,[[2;12;3;11];[4;16;5;15];[6;14;7;13];[8;18;9;17];[10;4;11;3];[12;2;13;1];[14;6;15;5];[16;10;17;9];[18;8;1;7]],Y,(3*v^6-v^8-v^10)+ (v^2+ 2*v^4+ 3*v^6+ v^8)*z^2
,9_38,[[2;14;3;13];[4;10;5;9];[6;16;7;15];[8;4;9;3];[10;18;11;17];[12;6;13;5];[14;2;15;1];[16;12;17;11];[18;8;1;7]],Y,(4*v^6-3*v^8)+ (v^4+ 7*v^6-v^8-v^10)*z^2+ (v^4+ 3*v^6+ v^8)*z^4
,9_49,[[1;15;2;14];[4;12;5;11];[6;16;7;15];[7;3;8;2];[10;18;11;17];[12;4;13;3];[13;9;14;8];[16;6;17;5];[18;10;1;9]],Y,(4*v^6-3*v^8)+ (2*v^4+ 6*v^6-2*v^8)*z^2+ (v^4+ 2*v^6)*z^4
,10_49,[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;15;10;14];[11;19;12;18];[13;1;14;20];[15;5;16;4];[17;11;18;10];[19;13;20;12]],Y,(v^6+ 5*v^8-7*v^10+ 2*v^12)+ (4*v^6+ 12*v^8-10*v^10+ v^12)*z^2+ (4*v^6+ 9*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
,10_53,[[1;7;2;6];[3;17;4;16];[5;9;6;8];[7;3;8;2];[9;15;10;14];[11;19;12;18];[13;1;14;20];[15;5;16;4];[17;13;18;12];[19;11;20;10]],Y,(3*v^6-3*v^10+ v^12)+ (v^4+ 6*v^6+ 2*v^8-3*v^10)*z^2+ (v^4+ 3*v^6+ 2*v^8)*z^4
,10_55,[[2;10;3;9];[4;18;5;17];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;20;15;19];[16;14;17;13];[18;4;19;3];[20;16;1;15]],Y,(v^4+ v^6+ v^8-3*v^10+ v^12)+ (2*v^4+ 3*v^6+ 3*v^8-3*v^10)*z^2+ (v^4+ 2*v^6+ 2*v^8)*z^4
,10_63,[[1;9;2;8];[3;19;4;18];[5;17;6;16];[7;11;8;10];[9;3;10;2];[11;15;12;14];[13;1;14;20];[15;7;16;6];[17;5;18;4];[19;13;20;12]],Y,(v^4+ 3*v^8-4*v^10+ v^12)+ (2*v^4+ 3*v^6+ 4*v^8-3*v^10)*z^2+ (v^4+ 2*v^6+ 2*v^8)*z^4
,10_66,[[1;11;2;10];[3;13;4;12];[5;19;6;18];[7;15;8;14];[9;5;10;4];[11;3;12;2];[13;17;14;16];[15;9;16;8];[17;1;18;20];[19;7;20;6]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (5*v^6+ 9*v^8-8*v^10+ v^12)*z^2+ (4*v^6+ 8*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
,10_80,[[1;17;2;16];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;5;10;4];[11;15;12;14];[13;9;14;8];[15;1;16;20];[17;3;18;2];[19;7;20;6]],Y,(2*v^6+ 3*v^8-6*v^10+ 2*v^12)+ (5*v^6+ 9*v^8-9*v^10+ v^12)*z^2+ (4*v^6+ 8*v^8-3*v^10)*z^4+ (v^6+ 2*v^8)*z^6
,10_101,[[2;12;3;11];[4;18;5;17];[6;14;7;13];[8;20;9;19];[10;6;11;5];[12;2;13;1];[14;10;15;9];[16;4;17;3];[18;16;19;15];[20;8;1;7]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (v^4+ 5*v^6+ 5*v^8-4*v^10)*z^2+ (v^4+ 3*v^6+ 3*v^8)*z^4
,10_120,[[2;10;3;9];[4;18;5;17];[6;12;7;11];[8;4;9;3];[10;16;11;15];[12;20;13;19];[14;8;15;7];[16;2;17;1];[18;14;19;13];[20;6;1;5]],Y,(3*v^6-3*v^10+ v^12)+ (7*v^6+ 3*v^8-4*v^10)*z^2+ (v^4+ 4*v^6+ 3*v^8)*z^4
,10_124,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;19;8;18];[9;3;10;2];[11;5;12;4];[14;20;15;19];[16;14;17;13];[17;7;18;6];[20;16;1;15]],Y,(7*v^8-8*v^10+ 2*v^12)+ (21*v^8-14*v^10+ v^12)*z^2+ (21*v^8-7*v^10)*z^4+ (8*v^8-v^10)*z^6+ v^8*z^8
,10_128,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;19;8;18];[9;5;10;4];[11;3;12;2];[14;20;15;19];[16;14;17;13];[17;7;18;6];[20;16;1;15]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (6*v^6+ 6*v^8-5*v^10)*z^2+ (5*v^6+ 5*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,10_134,[[2;16;3;15];[4;2;5;1];[7;13;8;12];[9;7;10;6];[10;18;11;17];[13;9;14;8];[14;20;15;19];[16;4;17;3];[18;12;19;11];[20;6;1;5]],Y,(3*v^6-3*v^10+ v^12)+ (7*v^6+ 3*v^8-4*v^10)*z^2+ (5*v^6+ 4*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,10_139,[[1;11;2;10];[4;18;5;17];[5;13;6;12];[7;15;8;14];[9;1;10;20];[11;3;12;2];[13;7;14;6];[16;4;17;3];[18;16;19;15];[19;9;20;8]],Y,(6*v^8-6*v^10+ v^12)+ (21*v^8-13*v^10+ v^12)*z^2+ (21*v^8-7*v^10)*z^4+ (8*v^8-v^10)*z^6+ v^8*z^8
,10_142,[[1;15;2;14];[4;12;5;11];[6;18;7;17];[8;16;9;15];[10;4;11;3];[12;6;13;5];[13;1;14;20];[16;8;17;7];[18;10;19;9];[19;3;20;2]],Y,(v^6+ 4*v^8-5*v^10+ v^12)+ (6*v^6+ 7*v^8-5*v^10)*z^2+ (5*v^6+ 5*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
,10_152,[[1;7;2;6];[3;9;4;8];[5;19;6;18];[7;3;8;2];[10;16;11;15];[12;20;13;19];[14;10;15;9];[16;12;17;11];[17;5;18;4];[20;14;1;13]],Y,(8*v^8-10*v^10+ 3*v^12)+ (22*v^8-17*v^10+ 2*v^12)*z^2+ (21*v^8-8*v^10)*z^4+ (8*v^8-v^10)*z^6+ v^8*z^8
,10_154,[[1;17;2;16];[3;7;4;6];[5;1;6;20];[8;14;9;13];[10;8;11;7];[12;18;13;17];[14;10;15;9];[15;3;16;2];[18;12;19;11];[19;5;20;4]],Y,(4*v^6-2*v^8-2*v^10+ v^12)+ (9*v^6-2*v^8-2*v^10)*z^2+ 6*v^6*z^4+ v^6*z^6
,10_161,[[1;13;2;12];[4;18;5;17];[6;14;7;13];[8;4;9;3];[9;17;10;16];[11;1;12;20];[14;6;15;5];[15;11;16;10];[18;8;19;7];[19;3;20;2]],Y,(3*v^6-v^8-v^10)+ (9*v^6-v^8-v^10)*z^2+ 6*v^6*z^4+ v^6*z^6
,11a_43,[[4;2;5;1];[8;4;9;3];[14;6;15;5];[18;16;19;15];[16;12;17;11];[12;18;13;17];[22;20;1;19];[20;10;21;9];[10;22;11;21];[6;14;7;13];[2;8;3;7]],Y,(v^6+ 7*v^8-12*v^10+ 6*v^12-v^14)+ (3*v^6+ 16*v^8-17*v^10+ 4*v^12)*z^2+ (3*v^6+ 12*v^8-6*v^10)*z^4+ (v^6+ 3*v^8)*z^6
,11a_94,[[4;2;5;1];[10;4;11;3];[12;6;13;5];[18;8;19;7];[20;14;21;13];[22;16;1;15];[14;22;15;21];[16;20;17;19];[6;18;7;17];[8;12;9;11];[2;10;3;9]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (5*v^6+ 7*v^8-4*v^10-v^12)*z^2+ (4*v^6+ 7*v^8+ v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,11a_95,[[4;2;5;1];[10;4;11;3];[12;6;13;5];[18;8;19;7];[22;14;1;13];[20;16;21;15];[16;20;17;19];[14;22;15;21];[6;18;7;17];[8;12;9;11];[2;10;3;9]],Y,(v^4+ v^6-v^10)+ (2*v^4+ 3*v^6+ 2*v^8-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
,11a_123,[[4;2;5;1];[10;4;11;3];[20;8;21;7];[18;14;19;13];[14;6;15;5];[6;18;7;17];[12;20;13;19];[8;12;9;11];[22;16;1;15];[16;22;17;21];[2;10;3;9]],Y,(2*v^6+ 2*v^8-4*v^10+ v^12)+ (v^4+ 4*v^6+ 6*v^8-3*v^10-v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ v^10)*z^4
,11a_124,[[4;2;5;1];[10;4;11;3];[14;6;15;5];[22;16;1;15];[16;12;17;11];[20;8;21;7];[18;22;19;21];[12;18;13;17];[6;20;7;19];[8;14;9;13];[2;10;3;9]],Y,(v^6+ 5*v^8-7*v^10+ 2*v^12)+ (3*v^6+ 13*v^8-9*v^10)*z^2+ (3*v^6+ 11*v^8-v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_186,[[4;2;5;1];[12;4;13;3];[14;6;15;5];[16;8;17;7];[20;10;21;9];[22;18;1;17];[18;22;19;21];[6;16;7;15];[8;20;9;19];[10;14;11;13];[2;12;3;11]],Y,(2*v^6+ v^8-2*v^10)+ (5*v^6+ 6*v^8-v^10-2*v^12)*z^2+ (4*v^6+ 7*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,11a_191,[[4;2;5;1];[12;4;13;3];[14;6;15;5];[18;8;19;7];[22;16;1;15];[16;22;17;21];[20;10;21;9];[6;18;7;17];[8;20;9;19];[10;14;11;13];[2;12;3;11]],Y,(v^6+ 3*v^8-3*v^10)+ (4*v^6+ 9*v^8-2*v^10-2*v^12)*z^2+ (4*v^6+ 8*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,11a_192,[[4;2;5;1];[12;4;13;3];[14;6;15;5];[20;10;21;9];[22;16;1;15];[16;22;17;21];[6;20;7;19];[18;8;19;7];[8;18;9;17];[10;14;11;13];[2;12;3;11]],Y,(2*v^6+ v^8-2*v^10)+ (v^4+ 5*v^6+ 4*v^8-v^10-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
,11a_200,[[4;2;5;1];[12;4;13;3];[16;6;17;5];[20;10;21;9];[22;18;1;17];[18;22;19;21];[8;20;9;19];[14;8;15;7];[10;14;11;13];[6;16;7;15];[2;12;3;11]],Y,(v^4+ 2*v^8-2*v^10)+ (2*v^4+ 2*v^6+ 5*v^8-v^10-v^12)*z^2+ (v^4+ 2*v^6+ 3*v^8+ v^10)*z^4
,11a_227,[[4;2;5;1];[12;4;13;3];[18;6;19;5];[8;14;9;13];[22;8;1;7];[20;16;21;15];[14;22;15;21];[6;20;7;19];[10;18;11;17];[16;10;17;9];[2;12;3;11]],Y,(v^6+ 4*v^8-5*v^10+ v^12)+ (3*v^6+ 12*v^8-6*v^10-v^12)*z^2+ (3*v^6+ 11*v^8-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_234,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[18;8;19;7];[20;10;21;9];[22;12;1;11];[6;18;7;17];[8;20;9;19];[10;22;11;21];[12;16;13;15];[2;14;3;13]],Y,(4*v^8-2*v^10-v^12)+ (14*v^8+ 3*v^10-6*v^12)*z^2+ (16*v^8+ 10*v^10-5*v^12)*z^4+ (7*v^8+ 6*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
,11a_235,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[18;8;19;7];[22;12;1;11];[6;18;7;17];[8;22;9;21];[20;10;21;9];[10;20;11;19];[12;16;13;15];[2;14;3;13]],Y,(v^6+ 2*v^8-v^10-v^12)+ (4*v^6+ 8*v^8+ v^10-3*v^12)*z^2+ (4*v^6+ 8*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,11a_236,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[22;12;1;11];[6;22;7;21];[20;10;21;9];[18;8;19;7];[8;20;9;19];[10;18;11;17];[12;16;13;15];[2;14;3;13]],Y,(2*v^6-v^12)+ (5*v^6+ 6*v^8-2*v^12)*z^2+ (4*v^6+ 7*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,11a_237,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[20;12;21;11];[22;10;1;9];[10;22;11;21];[6;20;7;19];[18;8;19;7];[8;18;9;17];[12;16;13;15];[2;14;3;13]],Y,(2*v^6-v^12)+ (v^4+ 5*v^6+ 4*v^8-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
,11a_238,[[4;2;5;1];[14;4;15;3];[16;6;17;5];[22;12;1;11];[6;22;7;21];[20;8;21;7];[18;10;19;9];[10;18;11;17];[8;20;9;19];[12;16;13;15];[2;14;3;13]],Y,(v^4+ v^8-v^12)+ (2*v^4+ 3*v^6+ 3*v^8+ v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
,11a_240,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[20;8;21;7];[22;10;1;9];[6;20;7;19];[8;22;9;21];[12;18;13;17];[16;12;17;11];[10;16;11;15];[2;14;3;13]],Y,(6*v^8-6*v^10+ v^12)+ (17*v^8-5*v^10-3*v^12)*z^2+ (17*v^8+ 5*v^10-4*v^12)*z^4+ (7*v^8+ 5*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
,11a_241,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[22;10;1;9];[6;22;7;21];[20;8;21;7];[8;20;9;19];[12;18;13;17];[16;12;17;11];[10;16;11;15];[2;14;3;13]],Y,(2*v^6+ v^8-2*v^10)+ (5*v^6+ 6*v^8-v^10-2*v^12)*z^2+ (4*v^6+ 7*v^8+ 2*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,11a_242,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[20;8;21;7];[22;10;1;9];[6;20;7;19];[8;22;9;21];[16;12;17;11];[12;16;13;15];[10;18;11;17];[2;14;3;13]],Y,(3*v^6-2*v^8+ v^10-v^12)+ (7*v^6+ 4*v^10-3*v^12)*z^2+ (5*v^6+ 3*v^8+ 4*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
,11a_243,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[22;10;1;9];[6;22;7;21];[20;8;21;7];[8;20;9;19];[16;12;17;11];[12;16;13;15];[10;18;11;17];[2;14;3;13]],Y,(v^4+ v^6-v^8+ v^10-v^12)+ (2*v^4+ 3*v^6+ 2*v^8+ v^10-v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ v^10)*z^4
,11a_244,[[4;2;5;1];[14;4;15;3];[18;6;19;5];[16;10;17;9];[22;8;1;7];[20;12;21;11];[10;22;11;21];[8;16;9;15];[6;20;7;19];[12;18;13;17];[2;14;3;13]],Y,(v^6+ 3*v^8-3*v^10)+ (3*v^6+ 12*v^8-5*v^10-v^12)*z^2+ (3*v^6+ 11*v^8-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_245,[[4;2;5;1];[14;4;15;3];[20;6;21;5];[22;8;1;7];[6;22;7;21];[16;10;17;9];[18;12;19;11];[10;18;11;17];[12;16;13;15];[8;20;9;19];[2;14;3;13]],Y,(4*v^6-4*v^8+ 2*v^10-v^12)+ (8*v^6-2*v^8+ 3*v^10-2*v^12)*z^2+ (5*v^6+ 2*v^8+ 3*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
,11a_246,[[4;2;5;1];[14;4;15;3];[20;6;21;5];[22;8;1;7];[6;22;7;21];[18;10;19;9];[16;12;17;11];[12;16;13;15];[10;18;11;17];[8;20;9;19];[2;14;3;13]],Y,(2*v^4-v^6+ v^10-v^12)+ (3*v^4+ v^6+ v^8+ 2*v^10-v^12)*z^2+ (v^4+ v^6+ v^8+ v^10)*z^4
,11a_247,[[4;2;5;1];[14;4;15;3];[22;6;1;5];[20;8;21;7];[18;10;19;9];[16;12;17;11];[12;16;13;15];[10;18;11;17];[8;20;9;19];[6;22;7;21];[2;14;3;13]],Y,(v^2+ v^10-v^12)+ (v^2+ v^4+ v^6+ v^8+ v^10)*z^2
,11a_263,[[6;2;7;1];[8;4;9;3];[16;6;17;5];[20;10;21;9];[22;12;1;11];[10;22;11;21];[14;20;15;19];[18;14;19;13];[12;18;13;17];[2;8;3;7];[4;16;5;15]],Y,(8*v^8-11*v^10+ 5*v^12-v^14)+ (20*v^8-13*v^10+ v^12)*z^2+ (18*v^8-3*v^12)*z^4+ (7*v^8+ 4*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
,11a_291,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[8;18;9;17];[10;4;11;3];[4;10;5;9];[14;22;15;21];[18;12;19;11];[20;14;21;13];[12;20;13;19];[2;16;3;15]],Y,(6*v^8-6*v^10+ v^12)+ (v^6+ 16*v^8-6*v^10-2*v^12)*z^2+ (3*v^6+ 13*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_292,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[8;18;9;17];[10;4;11;3];[4;10;5;9];[20;14;21;13];[18;12;19;11];[14;20;15;19];[12;22;13;21];[2;16;3;15]],Y,(2*v^6+ v^8-2*v^10)+ (6*v^6+ 5*v^8-2*v^10-v^12)*z^2+ (v^4+ 4*v^6+ 4*v^8+ v^10)*z^4
,11a_298,[[6;2;7;1];[10;4;11;3];[16;10;17;9];[8;18;9;17];[18;6;19;5];[20;12;21;11];[22;14;1;13];[12;22;13;21];[14;20;15;19];[2;8;3;7];[4;16;5;15]],Y,(6*v^8-6*v^10+ v^12)+ (2*v^6+ 15*v^8-7*v^10-v^12)*z^2+ (3*v^6+ 12*v^8-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_299,[[6;2;7;1];[10;4;11;3];[16;10;17;9];[8;18;9;17];[18;6;19;5];[22;12;1;11];[20;14;21;13];[14;20;15;19];[12;22;13;21];[2;8;3;7];[4;16;5;15]],Y,(2*v^6+ v^8-2*v^10)+ (v^4+ 5*v^6+ 4*v^8-v^10-v^12)*z^2+ (v^4+ 3*v^6+ 3*v^8+ v^10)*z^4
,11a_318,[[6;2;7;1];[12;4;13;3];[22;8;1;7];[10;22;11;21];[18;10;19;9];[20;14;21;13];[14;20;15;19];[8;18;9;17];[16;6;17;5];[2;12;3;11];[4;16;5;15]],Y,(v^6+ 2*v^8-v^10-v^12)+ (3*v^6+ 11*v^8-2*v^10-2*v^12)*z^2+ (3*v^6+ 11*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_319,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[10;20;11;19];[12;4;13;3];[4;12;5;11];[14;22;15;21];[20;14;21;13];[18;10;19;9];[8;18;9;17];[2;16;3;15]],Y,(5*v^8-4*v^10)+ (2*v^6+ 14*v^8-4*v^10-2*v^12)*z^2+ (3*v^6+ 12*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,11a_320,[[6;2;7;1];[16;6;17;5];[22;8;1;7];[18;10;19;9];[12;4;13;3];[4;12;5;11];[14;22;15;21];[20;14;21;13];[10;18;11;17];[8;20;9;19];[2;16;3;15]],Y,(v^6+ 3*v^8-3*v^10)+ (v^4+ 4*v^6+ 7*v^8-2*v^10-v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ v^10)*z^4
