,Name,PD,Positive,HOMFLY
,12a_355,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;7;16;6];[17;23;18;22];[19;1;20;24];[21;13;22;12];[23;19;24;18]],Y,(2*v^6-v^8+ 4*v^10-6*v^12+ 2*v^14)+ (5*v^6+ 3*v^8+ 8*v^10-9*v^12+ v^14)*z^2+ (4*v^6+ 6*v^8+ 7*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
,12a_356,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;7;16;6];[17;1;18;24];[19;23;20;22];[21;13;22;12];[23;19;24;18]],Y,(v^4+ v^8+ v^10-3*v^12+ v^14)+ (2*v^4+ 2*v^6+ 4*v^8+ 2*v^10-3*v^12)*z^2+ (v^4+ 2*v^6+ 3*v^8+ 2*v^10)*z^4
,12a_367,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;19;8;18];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;13;22;12];[23;15;24;14]],Y,(2*v^8+ 4*v^10-7*v^12+ 2*v^14)+ (9*v^8+ 18*v^10-19*v^12+ 3*v^14)*z^2+ (12*v^8+ 24*v^10-14*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_368,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;19;8;18];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;13;24;12]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (2*v^6+ 12*v^8+ 2*v^10-7*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
,12a_391,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;21;8;20];[9;3;10;2];[11;19;12;18];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;9;20;8];[21;13;22;12];[23;15;24;14]],Y,(2*v^8+ 4*v^10-7*v^12+ 2*v^14)+ (2*v^6+ 9*v^8+ 10*v^10-11*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 10*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_392,[[1;5;2;4];[3;11;4;10];[5;17;6;16];[7;21;8;20];[9;3;10;2];[11;19;12;18];[13;23;14;22];[15;7;16;6];[17;1;18;24];[19;9;20;8];[21;15;22;14];[23;13;24;12]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (v^4+ 3*v^6+ 8*v^8+ 2*v^10-4*v^12)*z^2+ (v^4+ 3*v^6+ 5*v^8+ 3*v^10)*z^4
,12a_420,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;3;10;2];[11;9;12;8];[13;21;14;20];[15;23;16;22];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;17;24;16]],Y,(v^6+ 2*v^8+ v^10-5*v^12+ 2*v^14)+ (4*v^6+ 6*v^8+ 6*v^10-9*v^12+ v^14)*z^2+ (4*v^6+ 7*v^8+ 7*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
,12a_421,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;13;8;12];[9;3;10;2];[11;9;12;8];[13;21;14;20];[15;23;16;22];[17;7;18;6];[19;1;20;24];[21;17;22;16];[23;15;24;14]],Y,(2*v^6+ v^8-v^10-2*v^12+ v^14)+ (v^4+ 4*v^6+ 5*v^8-3*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 2*v^10)*z^4
,12a_431,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;7;14;6];[15;23;16;22];[17;9;18;8];[19;1;20;24];[21;17;22;16];[23;13;24;12]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (v^6+ 14*v^8-7*v^12+ v^14)*z^2+ (2*v^6+ 13*v^8+ 6*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_432,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;15;8;14];[9;3;10;2];[11;21;12;20];[13;9;14;8];[15;23;16;22];[17;7;18;6];[19;1;20;24];[21;13;22;12];[23;17;24;16]],Y,(v^6+ v^8+ 3*v^10-6*v^12+ 2*v^14)+ (3*v^6+ 7*v^8+ 8*v^10-10*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_442,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;13;22;12];[23;15;24;14]],Y,(v^6+ 5*v^10-7*v^12+ 2*v^14)+ (4*v^6+ 5*v^8+ 10*v^10-10*v^12+ v^14)*z^2+ (4*v^6+ 7*v^8+ 8*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
,12a_443,[[1;5;2;4];[3;11;4;10];[5;19;6;18];[7;17;8;16];[9;3;10;2];[11;21;12;20];[13;23;14;22];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;15;22;14];[23;13;24;12]],Y,(v^6+ 2*v^8-3*v^12+ v^14)+ (v^4+ 4*v^6+ 6*v^8+ v^10-3*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 2*v^10)*z^4
,12a_490,[[1;5;2;4];[3;11;4;10];[5;23;6;22];[7;15;8;14];[9;3;10;2];[11;19;12;18];[13;9;14;8];[15;21;16;20];[17;1;18;24];[19;13;20;12];[21;7;22;6];[23;17;24;16]],Y,(v^6+ 2*v^8+ v^10-5*v^12+ 2*v^14)+ (3*v^6+ 7*v^8+ 7*v^10-10*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_574,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;21;10;20];[11;3;12;2];[13;23;14;22];[15;11;16;10];[17;7;18;6];[19;9;20;8];[21;1;22;24];[23;15;24;14]],Y,(3*v^8+ v^10-4*v^12+ v^14)+ (10*v^8+ 15*v^10-17*v^12+ 3*v^14)*z^2+ (12*v^8+ 23*v^10-14*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_575,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;21;10;20];[11;3;12;2];[13;23;14;22];[15;11;16;10];[17;9;18;8];[19;7;20;6];[21;1;22;24];[23;15;24;14]],Y,(v^6+ v^8+ 2*v^10-4*v^12+ v^14)+ (3*v^6+ 9*v^8+ 4*v^10-7*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
,12a_586,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;19;8;18];[9;23;10;22];[11;3;12;2];[13;21;14;20];[15;9;16;8];[17;7;18;6];[19;1;20;24];[21;11;22;10];[23;15;24;14]],Y,(3*v^8+ v^10-4*v^12+ v^14)+ (2*v^6+ 10*v^8+ 7*v^10-9*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_610,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;23;8;22];[9;21;10;20];[11;3;12;2];[13;19;14;18];[15;7;16;6];[17;1;18;24];[19;11;20;10];[21;9;22;8];[23;15;24;14]],Y,(v^6+ v^8+ 2*v^10-4*v^12+ v^14)+ (v^4+ 4*v^6+ 5*v^8+ 4*v^10-4*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 3*v^10)*z^4
,12a_615,[[1;5;2;4];[3;13;4;12];[5;17;6;16];[7;1;8;24];[9;21;10;20];[11;3;12;2];[13;9;14;8];[15;19;16;18];[17;7;18;6];[19;23;20;22];[21;11;22;10];[23;15;24;14]],Y,(v^6+ 3*v^8-3*v^10)+ (3*v^6+ 9*v^8+ 2*v^10-6*v^12+ v^14)*z^2+ (3*v^6+ 9*v^8+ 7*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_647,[[1;5;2;4];[3;13;4;12];[5;19;6;18];[7;21;8;20];[9;17;10;16];[11;3;12;2];[13;23;14;22];[15;9;16;8];[17;11;18;10];[19;7;20;6];[21;1;22;24];[23;15;24;14]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (12*v^8+ 10*v^10-15*v^12+ 3*v^14)*z^2+ (13*v^8+ 19*v^10-13*v^12+ v^14)*z^4+ (6*v^8+ 11*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_648,[[1;5;2;4];[3;13;4;12];[5;19;6;18];[7;21;8;20];[9;17;10;16];[11;3;12;2];[13;23;14;22];[15;11;16;10];[17;9;18;8];[19;7;20;6];[21;1;22;24];[23;15;24;14]],Y,(2*v^6-v^8+ 3*v^10-4*v^12+ v^14)+ (5*v^6+ 4*v^8+ 6*v^10-7*v^12+ v^14)*z^2+ (4*v^6+ 6*v^8+ 6*v^10-3*v^12)*z^4+ (v^6+ 2*v^8+ 2*v^10)*z^6
,12a_653,[[1;5;2;4];[3;13;4;12];[5;19;6;18];[7;23;8;22];[9;15;10;14];[11;3;12;2];[13;11;14;10];[15;21;16;20];[17;7;18;6];[19;1;20;24];[21;9;22;8];[23;17;24;16]],Y,(2*v^6+ v^10-3*v^12+ v^14)+ (v^4+ 4*v^6+ 4*v^8+ 3*v^10-4*v^12)*z^2+ (v^4+ 3*v^6+ 4*v^8+ 3*v^10)*z^4
,12a_659,[[1;5;2;4];[3;13;4;12];[5;19;6;18];[7;23;8;22];[9;17;10;16];[11;3;12;2];[13;21;14;20];[15;7;16;6];[17;11;18;10];[19;1;20;24];[21;9;22;8];[23;15;24;14]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (v^6+ 13*v^8+ 3*v^10-8*v^12+ v^14)*z^2+ (2*v^6+ 13*v^8+ 7*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_679,[[1;5;2;4];[3;13;4;12];[5;21;6;20];[7;19;8;18];[9;17;10;16];[11;3;12;2];[13;23;14;22];[15;11;16;10];[17;9;18;8];[19;7;20;6];[21;1;22;24];[23;15;24;14]],Y,(v^4+ 3*v^10-4*v^12+ v^14)+ (2*v^4+ 3*v^6+ 2*v^8+ 4*v^10-3*v^12)*z^2+ (v^4+ 2*v^6+ 2*v^8+ 2*v^10)*z^4
,12a_811,[[1;7;2;6];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;17;10;16];[11;5;12;4];[13;21;14;20];[15;11;16;10];[17;23;18;22];[19;1;20;24];[21;15;22;14];[23;19;24;18]],Y,(4*v^8+ v^10-7*v^12+ 3*v^14)+ (12*v^8+ 11*v^10-19*v^12+ 4*v^14)*z^2+ (13*v^8+ 19*v^10-14*v^12+ v^14)*z^4+ (6*v^8+ 11*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_813,[[1;7;2;6];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;19;10;18];[11;5;12;4];[13;21;14;20];[15;23;16;22];[17;11;18;10];[19;1;20;24];[21;15;22;14];[23;17;24;16]],Y,(2*v^8+ 6*v^10-11*v^12+ 4*v^14)+ (9*v^8+ 19*v^10-23*v^12+ 4*v^14)*z^2+ (12*v^8+ 24*v^10-15*v^12+ v^14)*z^4+ (6*v^8+ 12*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_814,[[1;7;2;6];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;19;10;18];[11;5;12;4];[13;21;14;20];[15;23;16;22];[17;11;18;10];[19;1;20;24];[21;17;22;16];[23;15;24;14]],Y,(5*v^8-2*v^10-4*v^12+ 2*v^14)+ (2*v^6+ 12*v^8+ v^10-8*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 5*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
,12a_817,[[1;7;2;6];[3;9;4;8];[5;13;6;12];[7;3;8;2];[9;23;10;22];[11;5;12;4];[13;19;14;18];[15;21;16;20];[17;1;18;24];[19;15;20;14];[21;11;22;10];[23;17;24;16]],Y,(4*v^8+ v^10-7*v^12+ 3*v^14)+ (12*v^8+ 11*v^10-19*v^12+ 4*v^14)*z^2+ (13*v^8+ 19*v^10-14*v^12+ v^14)*z^4+ (6*v^8+ 11*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_828,[[1;7;2;6];[3;9;4;8];[5;15;6;14];[7;3;8;2];[9;19;10;18];[11;23;12;22];[13;5;14;4];[15;21;16;20];[17;11;18;10];[19;1;20;24];[21;13;22;12];[23;17;24;16]],Y,(4*v^8-5*v^12+ 2*v^14)+ (2*v^6+ 10*v^8+ 6*v^10-10*v^12+ v^14)*z^2+ (3*v^6+ 10*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_876,[[1;7;2;6];[3;11;4;10];[5;13;6;12];[7;19;8;18];[9;3;10;2];[11;5;12;4];[13;21;14;20];[15;23;16;22];[17;9;18;8];[19;1;20;24];[21;15;22;14];[23;17;24;16]],Y,(v^8+ 8*v^10-12*v^12+ 4*v^14)+ (6*v^8+ 26*v^10-26*v^12+ 4*v^14)*z^2+ (11*v^8+ 29*v^10-16*v^12+ v^14)*z^4+ (6*v^8+ 13*v^10-3*v^12)*z^6+ (v^8+ 2*v^10)*z^8
,12a_877,[[1;7;2;6];[3;11;4;10];[5;13;6;12];[7;19;8;18];[9;3;10;2];[11;5;12;4];[13;21;14;20];[15;23;16;22];[17;9;18;8];[19;1;20;24];[21;17;22;16];[23;15;24;14]],Y,(4*v^8-5*v^12+ 2*v^14)+ (v^6+ 13*v^8+ 3*v^10-9*v^12+ v^14)*z^2+ (3*v^6+ 12*v^8+ 6*v^10-3*v^12)*z^4+ (v^6+ 3*v^8+ 2*v^10)*z^6
,12a_880,[[1;7;2;6];[3;11;4;10];[5;13;6;12];[7;19;8;18];[9;5;10;4];[11;3;12;2];[13;21;14;20];[15;23;16;22];[17;9;18;8];[19;1;20;24];[21;17;22;16];[23;15;24;14]],Y,(v^6+ 3*v^8-2*v^10-2*v^12+ v^14)+ (5*v^6+ 7*v^8-v^10-3*v^12)*z^2+ (v^4+ 4*v^6+ 5*v^8+ 2*v^10)*z^4
,12a_900,[[1;7;2;6];[3;11;4;10];[5;15;6;14];[7;19;8;18];[9;3;10;2];[11;23;12;22];[13;5;14;4];[15;21;16;20];[17;9;18;8];[19;1;20;24];[21;13;22;12];[23;17;24;16]],Y,(3*v^8+ 2*v^10-6*v^12+ 2*v^14)+ (v^6+ 12*v^8+ 6*v^10-10*v^12+ v^14)*z^2+ (2*v^6+ 13*v^8+ 8*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_973,[[1;7;2;6];[3;11;4;10];[5;21;6;20];[7;13;8;12];[9;5;10;4];[11;19;12;18];[13;23;14;22];[15;1;16;24];[17;9;18;8];[19;3;20;2];[21;17;22;16];[23;15;24;14]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (15*v^8+ v^10-8*v^12+ v^14)*z^2+ (2*v^6+ 14*v^8+ 7*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_974,[[1;7;2;6];[3;11;4;10];[5;21;6;20];[7;13;8;12];[9;5;10;4];[11;19;12;18];[13;1;14;24];[15;23;16;22];[17;9;18;8];[19;3;20;2];[21;17;22;16];[23;15;24;14]],Y,(2*v^6+ v^10-3*v^12+ v^14)+ (5*v^6+ 5*v^8+ 2*v^10-4*v^12)*z^2+ (v^4+ 4*v^6+ 5*v^8+ 3*v^10)*z^4
,12a_995,[[1;7;2;6];[3;11;4;10];[5;23;6;22];[7;15;8;14];[9;5;10;4];[11;19;12;18];[13;21;14;20];[15;1;16;24];[17;9;18;8];[19;13;20;12];[21;3;22;2];[23;17;24;16]],Y,(4*v^8-5*v^12+ 2*v^14)+ (14*v^8+ 4*v^10-10*v^12+ v^14)*z^2+ (2*v^6+ 14*v^8+ 8*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_996,[[1;7;2;6];[3;11;4;10];[5;23;6;22];[7;15;8;14];[9;5;10;4];[11;21;12;20];[13;19;14;18];[15;1;16;24];[17;9;18;8];[19;13;20;12];[21;3;22;2];[23;17;24;16]],Y,(v^6+ 3*v^8-2*v^10-2*v^12+ v^14)+ (4*v^6+ 8*v^8-4*v^12)*z^2+ (v^4+ 4*v^6+ 6*v^8+ 3*v^10)*z^4
,12a_1004,[[1;7;2;6];[3;11;4;10];[5;23;6;22];[7;19;8;18];[9;3;10;2];[11;17;12;16];[13;1;14;24];[15;21;16;20];[17;9;18;8];[19;13;20;12];[21;5;22;4];[23;15;24;14]],Y,(4*v^8-5*v^12+ 2*v^14)+ (v^6+ 13*v^8+ 3*v^10-9*v^12+ v^14)*z^2+ (2*v^6+ 13*v^8+ 7*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_1035,[[1;7;2;6];[3;13;4;12];[5;15;6;14];[7;19;8;18];[9;23;10;22];[11;3;12;2];[13;5;14;4];[15;21;16;20];[17;9;18;8];[19;1;20;24];[21;11;22;10];[23;17;24;16]],Y,(2*v^8+ 4*v^10-7*v^12+ 2*v^14)+ (v^6+ 10*v^8+ 11*v^10-12*v^12+ v^14)*z^2+ (3*v^6+ 11*v^8+ 11*v^10-4*v^12)*z^4+ (v^6+ 3*v^8+ 3*v^10)*z^6
,12a_1037,[[1;7;2;6];[3;13;4;12];[5;15;6;14];[7;19;8;18];[9;23;10;22];[11;5;12;4];[13;3;14;2];[15;21;16;20];[17;9;18;8];[19;1;20;24];[21;11;22;10];[23;17;24;16]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (4*v^6+ 9*v^8+ v^10-4*v^12)*z^2+ (v^4+ 4*v^6+ 6*v^8+ 3*v^10)*z^4
,12a_1097,[[1;7;2;6];[3;13;4;12];[5;21;6;20];[7;15;8;14];[9;23;10;22];[11;5;12;4];[13;19;14;18];[15;1;16;24];[17;9;18;8];[19;3;20;2];[21;11;22;10];[23;17;24;16]],Y,(4*v^8-v^10-3*v^12+ v^14)+ (3*v^6+ 10*v^8+ 2*v^10-5*v^12)*z^2+ (v^4+ 4*v^6+ 7*v^8+ 4*v^10)*z^4
,12a_1112,[[1;7;2;6];[3;13;4;12];[5;23;6;22];[7;15;8;14];[9;19;10;18];[11;5;12;4];[13;21;14;20];[15;1;16;24];[17;9;18;8];[19;11;20;10];[21;3;22;2];[23;17;24;16]],Y,(3*v^8+ 2*v^10-6*v^12+ 2*v^14)+ (13*v^8+ 7*v^10-11*v^12+ v^14)*z^2+ (2*v^6+ 14*v^8+ 9*v^10-4*v^12)*z^4+ (v^6+ 4*v^8+ 3*v^10)*z^6
,12a_1113,[[1;7;2;6];[3;13;4;12];[5;23;6;22];[7;15;8;14];[9;19;10;18];[11;5;12;4];[13;21;14;20];[15;1;16;24];[17;11;18;10];[19;9;20;8];[21;3;22;2];[23;17;24;16]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (3*v^6+ 11*v^8-v^10-4*v^12)*z^2+ (v^4+ 4*v^6+ 7*v^8+ 3*v^10)*z^4
,12n_74,[[1;5;2;4];[3;9;4;8];[12;6;13;5];[7;3;8;2];[14;10;15;9];[20;12;21;11];[6;14;7;13];[22;16;23;15];[24;18;1;17];[10;20;11;19];[18;22;19;21];[16;24;17;23]],Y,(6*v^8-5*v^10-v^12+ v^14)+ (17*v^8-4*v^10-6*v^12+ v^14)*z^2+ (17*v^8+ 5*v^10-5*v^12)*z^4+ (7*v^8+ 5*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
,12n_77,[[1;5;2;4];[3;9;4;8];[12;6;13;5];[7;3;8;2];[14;10;15;9];[20;12;21;11];[6;14;7;13];[24;16;1;15];[22;18;23;17];[10;20;11;19];[18;22;19;21];[16;24;17;23]],Y,(3*v^6-2*v^8+ 2*v^10-3*v^12+ v^14)+ (7*v^6+ 4*v^10-4*v^12)*z^2+ (5*v^6+ 3*v^8+ 4*v^10-v^12)*z^4+ (v^6+ v^8+ v^10)*z^6
,12n_88,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[16;10;17;9];[11;7;12;6];[13;21;14;20];[10;16;11;15];[17;23;18;22];[19;15;20;14];[21;1;22;24];[23;19;24;18]],Y,(v^6+ 6*v^8-9*v^10+ 3*v^12)+ (3*v^6+ 15*v^8-14*v^10+ 2*v^12)*z^2+ (3*v^6+ 12*v^8-5*v^10)*z^4+ (v^6+ 3*v^8)*z^6
,12n_91,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[16;10;17;9];[11;7;12;6];[20;14;21;13];[10;16;11;15];[22;18;23;17];[24;20;1;19];[14;22;15;21];[18;24;19;23]],Y,(7*v^8-7*v^10+ v^14)+ (20*v^8-11*v^10-3*v^12+ v^14)*z^2+ (20*v^8-4*v^10-2*v^12)*z^4+ 8*v^8*z^6+ v^8*z^8
,12n_96,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[16;10;17;9];[11;7;12;6];[20;14;21;13];[10;16;11;15];[24;18;1;17];[22;20;23;19];[14;22;15;21];[18;24;19;23]],Y,(3*v^6-v^8-2*v^12+ v^14)+ (7*v^6+ 2*v^8-v^10-2*v^12)*z^2+ (5*v^6+ 4*v^8)*z^4+ (v^6+ v^8)*z^6
,12n_100,[[1;5;2;4];[3;9;4;8];[12;6;13;5];[7;3;8;2];[16;10;17;9];[22;12;23;11];[6;14;7;13];[20;16;21;15];[24;18;1;17];[10;20;11;19];[14;22;15;21];[18;24;19;23]],Y,(6*v^8-5*v^10-v^12+ v^14)+ (2*v^6+ 14*v^8-5*v^10-3*v^12)*z^2+ (3*v^6+ 12*v^8+ v^10-v^12)*z^4+ (v^6+ 3*v^8+ v^10)*z^6
,12n_105,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[18;10;19;9];[11;7;12;6];[20;14;21;13];[22;16;23;15];[10;18;11;17];[24;20;1;19];[14;22;15;21];[16;24;17;23]],Y,(5*v^8-2*v^10-4*v^12+ 2*v^14)+ (18*v^8-5*v^10-6*v^12+ v^14)*z^2+ (20*v^8-2*v^10-2*v^12)*z^4+ 8*v^8*z^6+ v^8*z^8
,12n_110,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[18;10;19;9];[11;7;12;6];[20;14;21;13];[22;16;23;15];[10;18;11;17];[24;20;1;19];[16;22;17;21];[14;24;15;23]],Y,(v^6+ 4*v^8-4*v^10-v^12+ v^14)+ (5*v^6+ 8*v^8-4*v^10-2*v^12)*z^2+ (5*v^6+ 6*v^8)*z^4+ (v^6+ v^8)*z^6
,12n_133,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[22;10;23;9];[11;7;12;6];[13;17;14;16];[15;21;16;20];[17;1;18;24];[19;15;20;14];[10;22;11;21];[23;19;24;18]],Y,(v^6+ 6*v^8-9*v^10+ 3*v^12)+ (3*v^6+ 15*v^8-14*v^10+ 2*v^12)*z^2+ (3*v^6+ 12*v^8-5*v^10)*z^4+ (v^6+ 3*v^8)*z^6
,12n_136,[[1;5;2;4];[3;9;4;8];[5;13;6;12];[7;3;8;2];[22;10;23;9];[11;7;12;6];[18;14;19;13];[20;16;21;15];[24;18;1;17];[14;20;15;19];[10;22;11;21];[16;24;17;23]],Y,(7*v^8-7*v^10+ v^14)+ (20*v^8-11*v^10-3*v^12+ v^14)*z^2+ (20*v^8-4*v^10-2*v^12)*z^4+ 8*v^8*z^6+ v^8*z^8
,12n_153,[[1;5;2;4];[3;9;4;8];[14;6;15;5];[7;3;8;2];[16;10;17;9];[18;12;19;11];[22;14;23;13];[6;16;7;15];[10;18;11;17];[24;20;1;19];[12;22;13;21];[20;24;21;23]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (15*v^8+ v^10-8*v^12+ v^14)*z^2+ (16*v^8+ 9*v^10-6*v^12)*z^4+ (7*v^8+ 6*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
,12n_166,[[1;5;2;4];[3;9;4;8];[14;6;15;5];[7;3;8;2];[16;10;17;9];[20;12;21;11];[22;14;23;13];[6;16;7;15];[24;18;1;17];[10;20;11;19];[12;22;13;21];[18;24;19;23]],Y,(3*v^8+ 2*v^10-6*v^12+ 2*v^14)+ (13*v^8+ 7*v^10-11*v^12+ v^14)*z^2+ (16*v^8+ 11*v^10-6*v^12)*z^4+ (7*v^8+ 6*v^10-v^12)*z^6+ (v^8+ v^10)*z^8
,12n_169,[[1;5;2;4];[3;9;4;8];[14;6;15;5];[7;3;8;2];[16;10;17;9];[20;12;21;11];[22;14;23;13];[6;16;7;15];[24;18;1;17];[12;20;13;19];[10;22;11;21];[18;24;19;23]],Y,(5*v^8-3*v^10-2*v^12+ v^14)+ (3*v^6+ 11*v^8-v^10-4*v^12)*z^2+ (4*v^6+ 9*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
,12n_177,[[1;5;2;4];[3;9;4;8];[14;6;15;5];[7;3;8;2];[18;10;19;9];[16;12;17;11];[22;14;23;13];[6;16;7;15];[10;18;11;17];[24;20;1;19];[12;22;13;21];[20;24;21;23]],Y,(2*v^6+ v^10-3*v^12+ v^14)+ (5*v^6+ 5*v^8+ 2*v^10-4*v^12)*z^2+ (4*v^6+ 7*v^8+ 3*v^10-v^12)*z^4+ (v^6+ 2*v^8+ v^10)*z^6
